No.,Text,Marah,Antisipasi,Jijik,Takut,Bahagia,Sedih,Terkejut,Percaya
2353,Selamat Tahun Baru! Semoga pengalaman 2019 jadi pembelajaran hidup yang berharga untuk masa depan.,0,1,0,0,1,0,0,0
2333,cherrion met tahun baru! semoga yang semoga semoga! semoga cherry bisa gibah sama nabkko terus.,0,1,0,0,1,0,0,0
477,Terimakasih atas semua momen tahun 2019 yang terukir indah di dalam sejarah hidup saya.,0,0,0,0,1,0,0,0
2950,"gue kira orang memperlakukan gue sebagai sosok yang humble,ternyata cuma sosok untuk di bego bego in",1,0,0,0,0,0,0,0
65,IYA ! ada yang liat di bali rambutnya blonde :”) mau degdegan dulu,0,0,0,0,1,0,0,0
3847,"Ibu, engkau bagaikan pahlawan walaupun tak memiliki kekuatan super, tapi engkau memiliki Kekuatan hati yang super",0,0,0,0,1,0,0,1
3737,"Terima kasih kerana respond, berharap proses menaik taraf rangkaian tersebut selesai pada masa yang lebih cepat, terima kasih",0,1,0,0,0,0,0,0
1303,"Be safe untuk semua yang terkena banjir. Siapapun, dimanapun...",0,1,0,0,0,0,0,1
3292,"Kak James ngapain jam segitu belum tidur, ngerondain yang main petasan sampai pagi ya?",0,0,0,0,0,0,1,0
2689,"Happy new year, semoga tahun ini jadi tahun yang banyak membawa berkah ya untukkkk kita semuaa hihi",0,1,0,0,1,0,0,0
2736,"pasangan yang baik pula, yg mengerti mbak dan yang nerima mbak apa adanya. semangat terus mbakk ",0,0,0,0,1,0,0,1
3647,"Ini gua lama-lama koleksi nyamuk mati dah, banyak bener yang kena tabok []",0,0,1,0,0,0,0,0
2538,haaaaaa  apa yang aku tgk ni ! em effect dia dh mcam bunga api new year dh,0,0,0,0,0,0,1,0
3849,"Ya Allah, terimalah doa dan rasa syukur hamba setiap hari. terima kasih atas nikmat dariMu yang tiada terhingga",0,0,0,0,0,0,0,1
2386,"Banyak duka yang di dapat, banyak pula kebahagiaan yang mendekat. Terimakasih sudah banyak memberi warna dalam hidup.",0,0,0,0,0,0,0,1
120,"Harapan harapan harapan semoga akan segera tercapai, tahun yang baru benahi mimpi yang baru",0,1,0,0,0,0,0,0
618,Jangan lupa hapus chat-chatan 2019 yg buat down atau menyakitkan. Bangkit udah bangkit buka lembaran baru yang lebih enJhOOOOoyyy~,0,1,0,0,0,0,0,0
43,"Wkwkwk gue pun berpikir hal yang sama, tp kurang 1 jop, gue tetep kuliah ye",0,1,0,0,1,0,0,0
643,Stah safe warga jakarta dan sekitarnya yang rumahnya kebanjiran...,0,0,0,0,0,1,0,0
4104,"Happy New Year lula yang mukanya ganti mulu, semoga nggak labil muka taun ini",0,1,0,0,1,0,0,0
3265,@byu @byu @byu_id yang terinstall di HP. Makasih :) -Nesya (2/2),0,0,0,0,1,0,0,0
1955,Kesejahteraan dan kekayaan yang terbaik dibangun dalam pernikahan. Jangan menunda pernikahan dengan alasan kesejahteraan sarwendah29 ruben_onsu,0,1,0,0,1,0,0,0
101,"“Sejak pertama kali melihatmu, kau seperti pemandangan yang indah yang membuat hatiku berbunga bunga” – Love rain",0,0,0,0,1,0,0,1
1376,Tahun baru dengan semangat baru untuk meraih pencapaian yang baru,0,1,0,0,1,0,0,0
45,selamat taun baru juga naya dan semua admin. senang bisa ada di rumah yang nyaman senyaman ige.,0,0,0,0,1,0,0,0
981,semoga pagi ini diberikan kelancaran dan rezeki yang melimpah aamiin ^^,0,1,0,0,1,0,0,0
2880,Ya Alhamdulillah uda surut karena tahun 2019 banjir sampe ada yang meninggal .. semoga baik baik semua,0,1,0,0,1,0,0,0
3789,airpods bisa beli satu biji doang gak sih? punya aku hilang yang kanannya nanges:(,0,0,0,0,0,1,0,0
966,stay safe buat temen-temen yang ada di jabodetabek :(,0,0,0,0,0,1,0,1
1613,You too Caaaaa!!! Semoga 2020 menjadi tahun yang semakin baik yaaaa,0,1,0,0,1,0,0,0
3757,"Pengen banget sebenernya di ruqyah, tapi gue takut setannya ngomong yang kaga kaga:(",0,0,0,1,0,0,0,0
811,"Semangat, mas! Tebar senyum untuk kami di Bekasi yang kebanjiran.",0,0,0,0,1,0,0,0
3742,"""Tolong izinkan aku untuk menjadi orang yang pantas menyayangimu!!!"" Gildarts",0,0,0,0,0,0,0,1
1684,"Masih dengan orang yang sama, belum ganti :')",0,0,0,0,1,0,0,1
2471,Semoga di tahun 2020 ini banyak jomblo yang ketemu jodohnya aminn:),0,1,0,0,0,0,0,0
1239,"stay safe ya kalian yang rumahnya lagi kebanjiran , doa terbaik buat kalian semua ",0,1,0,0,0,0,0,1
3344,"hahaha punyaku itu. Iya enak buat rekaman jalan"", walau sebenernya pinginnya zoom yang seri F. hahaha",0,0,0,0,1,0,0,0
1038,"Selamat Tahun Baru 2020, Semoga di tahun ini yang semoga disemogakan.",0,1,0,0,1,0,0,0
2901,Kawan sejati ialah orang yang mencintaimu meskipun telah mengenalmu dengan sebenar-benarnya iaitu baik dan burukmu.,0,0,0,0,0,0,0,1
1435,Terima kasih telah mengenalkanku pada kedua rasa yang tak akan kulupa.,0,0,0,0,1,0,0,1
2322,Happy new year... Selamat datang tahun baru 2020..semoga menjadi tahun yang lebih baik...,0,0,0,0,1,0,0,0
1784,"Thank's Tahun 2019, Tahun yang begitu mengajarkan ku banyak hal. Semoga tahun 2020 menjadi lebih baik lagi ",0,1,0,0,1,0,0,0
245,"Ini yang ada di ig kan? Bagus banget, tadi aku nemu ignya hehe",0,0,0,0,1,0,0,0
617,"Maafkan hal ini dan anggap sebagai tindakan bodoh, yang pasti aku tidak bisa hidup tanpa kamu.",0,0,0,0,0,0,0,1
1860,"Makanya, mana aku belom konsul lagi, revisi aja belom, masih banyak yang bingung, gimana dungg",0,0,0,0,0,1,0,0
1130,"Mau dongg,, peluk aku please pengen banget ada yang peluk",0,1,0,0,0,0,0,0
886,yang nikah anak imas semua tte doyukoto yanen??????,0,0,0,0,0,0,1,0
3978,Semoga Tahun 2020 ini semua usaha kita dipermudahkan.. rezeki dibuka.. yang berkuasa didunia.. lihatlah juga perkabaran rakyat..,0,1,0,0,0,0,0,0
3318,"Ya Tuhan, semoga hari ini menjadi hari yang baik untuku dan orang orang di sekitarku",0,1,0,0,0,0,0,1
3587,"Hola mutual baruku, salam kenal. Im dwi pacarnya suga yang cantek dan imut ini 03l",0,0,0,0,1,0,0,0
825,Kasian. Menikmati sesuatu yang simple aja ga bisa.,0,0,0,0,0,1,0,0
1437,"Stay safe buat yang kebanjiran, semoga. cepat surut ",0,1,0,0,0,0,0,0
1149,Lets start again. Semoga yang ada hanya sukacita.,0,1,0,0,0,0,0,0
1799,"Nggak papa yang penting semangat aja gapainya, tapi siapin hati juga buat kalo ketolaknya nder! Semangat terus!",0,1,0,0,0,0,0,0
2327,Selamat tahun baru wanita wanita hebat! Semoga tahun ini kalian diliputi kebahagiaan yang berlimpah  @daendeIion @aintpoupee,0,1,0,0,1,0,0,0
820,semoga tahun 2020 menjadi tahun yang baik untukku dan kalian,0,1,0,0,1,0,0,0
1807,Buat saudara saudaraku yang di jakarta tetap semangat dan bersabar karena musibah banjir. Semoga banjirnya cepet surut.,0,1,0,0,0,0,0,1
2378,Tolong yang daerahnya sedang #banjir sempatkan lah untuk bantu kucing2 kampung sekitar kasian mereka kelaparan kedinginan,0,0,0,0,0,1,0,0
1628,Terima kasih untuk teman-teman yang sudah membersamai aku di 2019!,0,0,0,0,1,0,0,0
3656,Tahun baru ku diawali dengan hujan deras yang ga berhenti2 dari kemaren sore dan mati lampu,0,0,0,0,0,1,0,0
1197,"yang kena banjir sabar yaaa hati-hati jugaaa, semoga pertanda akn banjir rezeki jugaa hehe",0,1,0,0,0,0,0,1
3304,"Suka bingung sama yang banjir dijadiin kolam renang, itukan kotor, ga takut apa ya",0,0,0,1,0,0,0,0
2503,Surabaya ga banjir...berarti yang GOBLOK dan TAI ANJING itu looo...SETAN..!!!,1,0,0,0,0,0,0,0
2763,"Selamat pagi, semoga hari ini ada mimpi yang terwujud saat selamat malam hanya bisa mewujudkan harapan lewat mimpi",0,1,0,0,1,0,0,0
1404,Loe yang dongok...  Bangsat lagi....!!!,1,0,0,0,0,0,0,0
3116,Hope 2020 adalah tahun yang paling bermakna bagi aku insyaallah let's do this!!!,0,1,0,0,0,0,0,0
3229,Dm dong dari tadi gue rep kagak ada yang dm link nya :'),0,0,0,0,0,1,0,0
2230,"waw sebaik itu kamu, semoga dijodohkan ya jol kan yang nemenin berjuang kamu :)",0,0,0,0,0,0,0,1
382,Smoga segala yang kamu inginkan tercapai dan smoga segala sesuatu yang kamu hadapi dimudahkan slalu,0,1,0,0,0,0,0,0
539,Iyaa yang itu. Keliatannya belum bersih. Aku barusan cek masih ada satu nyempil jelek banget.,0,0,1,0,0,0,0,0
824,Kau memberiku janji.. Memberi mimpi yang sayangnya tak pernah kau tepati.,0,0,0,0,0,1,0,0
1763,"apa yang harus kulakukan. Semangat ya kak ngerjain tugasnya, semoga cepet selesai!!!",0,1,0,0,1,0,0,0
3245,Itu yang nulis uda kayak nyontek tugas essay tapi bedain paragraf awal sama judul biar ga ketahuan dosen,0,0,1,0,0,0,0,0
3567,@viviyonaap happy new year. Semoga di tahun (dan dekade) yang baru semakin diberkati.,0,1,0,0,0,0,0,0
2648,Untuk merayakan kesuksesan kita di tahun sebelumnya dan menyambut tahun yang baru dengan bahagia #SelamatTahunBaru2020,0,0,0,0,1,0,0,0
3013,aaaaaaa apa ya hashtagnya ga ada yang bikin? #.1000DaysWithLucas aja apa ya????,0,0,0,0,0,0,1,0
1347,"Semangat untuk semua elemen masyarakat yang mengatasi banjir, terkhususnya kepada abang abang PLN",0,1,0,0,1,0,0,0
2338,2020 di awali dengan cuaca yang semakin enak buat rebahan ntap,0,0,0,0,1,0,0,0
350,"Seneng banget, liburan hari ini banyak orang tua yang bawa anaknya pegi ke taman ataupun museum. Rame bocill",0,0,0,0,1,0,0,0
2643,"Semangat kakakkk!!!! Ayo makannya yang sehat-sehat aja yaaa, semangat terus pokoknyaa ",0,1,0,0,1,0,0,0
730,Happy new year. Semoga 2020 lebih hoki daripada 2019 yang ciong abis.,0,1,0,0,1,0,0,0
2046,Semoga ditahun 2020 aku jadi orang yang lebih berguna dari pada tahun sebelumnya,0,1,0,0,0,0,0,0
1861,sangat bersyukur di 2019. terima kasih untuk orang2 yang sudah pergi dan yang masih bertahan.,0,0,0,0,1,0,0,0
1832,Semoga yang dulu ngomong akan mudah mengatasi banjir dan macet di jakarta kalau jadi presiden baca tulisan ini,1,0,0,0,0,0,0,0
1131,"aku rindu kita yang dulu , aku benci kita yang sekarang ",1,0,0,0,0,1,0,0
2055,111. Envy banget sama orang yang bisa deket sama lo :(,0,0,1,0,0,1,0,0
2108,Khawatir dengan yang dirumah i hope their okay @dsy_twt,0,0,0,0,0,1,0,0
3765,Aku tak ingin berharap apapun untuk tahun ini. Hanya terus lah berusaha menjadi baik dan terus memberi yang terbaik,0,1,0,0,0,0,0,0
2601,"Tuhan, dalam tidurku malam ini, aku mohon Engkau siapkan rezeki surprise yang bagus untukku esok hari. Aamiin",0,0,0,0,0,0,0,1
2605,"Belum tidur, rumah kebanjiran, masih hujan. Hari pertama di 2020 yang sungguhlaaa",0,0,0,0,0,1,0,0
1643,sayang kalian banget aku tuh @BTS_twt yang happy terus yaa kaliannn!,0,0,0,0,1,0,0,0
908,Sama orang yang pernah deketin gw tp cuman php doang:(,0,0,0,0,0,1,0,0
2303,Mon maap berdoa yang wajib aja jarang. Jadi takut :(,0,0,0,1,0,0,0,0
321,"Sayang sama diri sendiri dengan cara menghindari dan mengabaikan orang2 yang selalu bikin down, sedih, overthinking. ",0,0,0,0,1,0,0,1
1365,"2020 angka yang bagus, semoga aja menjadi tahun yang bagus juga ",0,1,0,0,1,0,0,0
3516,"""Hubungan teman, persaudaraan membuat kita semakin kuat melebihi apa yang kita capai"" Haru, Accel World",0,0,0,0,1,0,0,1
1476,HBO marathon harry potter nih! sebuah awal yang sangat baik!,0,1,0,0,1,0,0,0
331,"Ih beneran, aku pernah ngomelin sama yang nempel di bahu aku wkwkwk malah aku ngumpat ke dia wkwkwk",0,0,0,0,1,0,0,0
225,"Keren gitu liat orang orang yang pacenya cepet. Huhuhu. Tapi gapapaa, semangat aja dulu",0,1,0,0,0,1,0,0
1012,Mantap stasiun ps senen ke kosan yang biasanya <130k jadi 260k akibat banjir,0,0,1,0,0,0,0,0
573,OWS kenapa aku sedih membacanya seketika aku inget kak mark si manito ku yang lambe turah leurs hiks,0,0,0,0,0,1,0,0
1169,Terimakasih indoxxi yang telah menemaniku selama tidak punya uang dan mager pergi ke bioskop,0,0,0,0,1,0,0,0
3146,Salah satu hal yang membahagiakan adalah ketika seseorang mengingat hal kecil tentangmu yang kamu pikir mereka tak akan mengingatnya.,0,0,0,0,1,0,0,0
2780,"kau segalanya untukku, hanya kaulah yang ku cinta tiada yang lain selamanya hanya kau yang ada dihatiku",0,0,0,0,0,0,0,1
874,tidak ada doa di tahun yang baru selain untuk menjadi lebih baik lagi..,0,1,0,0,0,0,0,0
4082,"Terima kasih untuk luka Dan bahagia kemarin, untuk nanti ikuti saja alur yang berjalan",0,0,0,0,1,0,0,0
206,"Semoga yang rumahnya kebanjiran, bisa cepet surut. Semangat guys, dan hati-hati selalu ",0,1,0,0,0,0,0,1
3193,"art! sebagai seorang artist, hal sederhana apa yang bisa bikin kalian seneng banget?",0,0,0,0,1,0,0,0
3209,Pokoknya di twitter non pendukung gubernur yang sekarang udah paling bener aja pikiran dan pendapatnya. Yang laen salah..,0,0,1,0,0,0,0,0
2758,Happy New Year kristiiii!!! Harapanku di 2020 semoga semakin banyak hal bagus yang terjadi pada kita semua,0,1,0,0,1,0,0,0
4016,"Selamat tahun baru 2020 juga yel, semoga lancar di tahun yang baru ini ya semua urusan",0,1,0,0,0,0,0,0
925,stay safe moots aku yang tinggal di jakarta dan sekitarnya,0,1,0,0,0,0,0,1
326,"Selamat tahun baru semua, semoga tahun ini jadi tahun yang baru bukan tahun yang haru.",0,1,0,0,1,0,0,0
1071,semoga kita sama2 bisa masuk di ptn yang diinginkan ya,0,1,0,0,0,0,0,0
4008,yatuhan semoga sakitnya ilang bentar lagi pls gapapa w demam seharian yang penting jangan sakit gigi anjir ky mau mati,0,0,0,1,0,0,0,0
1670,Tanpa pernah melihat betapa kumencoba jadi yang terbaik untuk dirimu,0,0,0,0,1,0,0,0
4182,"Teman teman yang rumahnya atau daerah sekitarnya terkena banjir stay safe ya, semoga airnya cepet surut ",0,1,0,0,0,0,0,0
3697,Aminnn. Selamat tahun baru juga k.Adibah. Semoga yang baik2 je untuk k.Adibah dan keluarga.,0,1,0,0,1,0,0,0
3726,TL twice eonnies ga ada yang mau ngangkut maknae-nya ke gdm? homeless nih :(,0,0,0,0,0,1,0,0
2616,"Aku ingin kamu yang dulu, dulu yang selalu mencintai dan mengerti aku dengan tulus.",0,0,0,0,0,1,0,0
1126,stay safe ya! yang penting kamu dan keluarga kamu harus aman dulu,0,0,0,0,0,0,0,1
4138,Terimakasih 2019. Banyak hal yg kulalui bersama rasa sakit yang menguatkan. Dom:Jatim,0,0,0,0,1,0,0,0
1122,"Stay Safe teman teman yang terkena banjir, semoga selalu dilindungi oleh-NYA",0,1,0,0,0,0,0,1
3615,"Selamat ulang tahun untuk paijan, janjan, jan, dan semua jan2 yang ada di seluruh dunia",0,1,0,0,0,0,0,0
3671,"Besok UAS dan yang ngajak jalan banyak,,, astaghfirullah godaan :'))",0,0,0,1,0,0,0,0
3489,"Bernaung didalam ruang kebahagian disetiap detik waktu yang kupunya, itulah kekuatan besar cintamu, begitu indah Angel_ChiBi",0,0,0,0,1,0,0,1
82,"karya warga dki sendiri ,setiap gubernur yang menjabat di dki disalahin semua ,hha dki lucu",0,0,1,0,0,0,0,0
2779,Okay masa untuk jadi novelist yang berjaya dan mampu menyandang tittle sasterawan negara 2056 !,0,1,0,0,0,0,0,0
743,ahhh sedih sama temen temen yang kena banjir :( semangat ya guys,0,0,0,0,0,1,0,0
1575,Semoga bung adjis bisa jadi manusia yang lebih baik dari sebelum umroh. Amiin,0,1,0,0,0,0,0,0
287,"Kasian orang orang yang baru bangun tidur udah dapet surprise banjir selutut,  semoga lekas surut ya.",0,0,0,0,0,1,0,0
3540,iya.. ini aja baru berenti di rumahku :( dari semalem hujannya nes. gaada yang bisa masuk kah?,0,0,0,0,0,1,0,0
3062,"sebusuk-busuk tong sampah ni, busuk lagi hati orang yang selalu iri dan dengki pada kehidupan orang lain.",1,0,0,0,0,0,0,0
1163,Semoga yang kebanjiran senantiasa diberikan ketabahan dan terhindar dari wabah penyakit. :(,0,0,0,0,0,1,0,1
4162,"Happy new year juga, bang Natnat. Semoga menjadi manusia yang lebih baik lagi di tahun ini ",0,1,0,0,1,0,0,0
3937,"Amiin semoga ya yang  bantuin mas biar bisa jadi yg lebih baik lagi, i love you more sayang",0,1,0,0,1,0,0,1
1106,"Sudah sampai di 2020 diiringi air yang turun dari plafon, semoga berkah.",0,1,0,0,0,0,0,0
2788,"one it mutualan yukk yang gamasalah aku mulfan, rt aja yaa !! happy new year  /x1/",0,0,0,0,1,0,0,0
1612,Terimakasih 2019 semoga di 2020 punya temen yang bener temen:),0,0,0,0,1,0,0,0
3658,hdhshsh stay safe yang daerahnya lagi hujan terus banjir :( semoga cepet reda dan surut.,0,0,0,0,0,1,0,0
2202,Semoga tweetku membantu temanku ini mencari cewek yang sholehah aminn :),0,1,0,0,1,0,0,0
2533,"Tuhan itu maha asik, dia mematahkan hatimu demi menyelamatkanmu dari cinta yang salah.",0,0,0,0,0,0,0,1
847,creamy tint yang brick townnnn!!!! udah baguuus banget,0,0,0,0,1,0,0,0
664,"Tampak hebat lagi, semua yang terbaik untuk tahun 2020.",0,0,0,0,0,0,0,1
42,"coba deh keluar dari zonamu, asik kok ternyata. Ga garing, ga yang diomongin itu itu aja.",0,1,0,0,0,0,0,0
2883,"tahun sudah berganti, waktunya buat thread harian yang baru juga. Biar keren aja gitu wkwkwk",0,0,0,0,1,0,0,0
3314,Kalau ada yang mempitnah atau menyakiti pa @aniesbaswedan  Doakan jelek saja sdh muak aku.,1,0,1,0,0,0,0,0
309,"Hari ini aku bersyukur, punya teman-teman yang sayang sama aku dan bersedia ada untuk aku.",0,0,0,0,1,0,0,1
3816,"Bagaimana rasanya? Melewati jalan yang dulu sering kita lewati berdua, namun sekarang kau lewati dengannya.",0,0,0,0,0,1,0,0
3191,kuliah yang bener!!! jangan kayak gue yang skripsinya telat!!!,0,1,1,0,0,0,0,0
1623,"yang aku mau hanya kamu satu, yang ku cinta kamu... satu",0,0,0,0,1,0,0,1
3346,Terimakasih untuk malam tahun baru yang full of memory...semoga kelak tetap bisa seperti ini,0,0,0,0,1,0,0,0
2009,"Kamu lah makhluk tuhan paling seksi, yang paling seksi, seksi sekali",0,0,0,0,1,0,0,0
3350,Terima kasih sobat @M7_luthfi untuk dukungan yang diberikan. Selamat beraktivitas. :) -Indri-,0,0,0,0,1,0,0,1
2192,Kucing yang biasa di rumah kebawa banjir :(((,0,0,0,0,0,1,0,0
713,Happy new year kak windd  semoga yang di harapkan bisa terkabul,0,1,0,0,0,0,0,1
1274,Trimakasih akuu sudah berjuanggggg di 2019 yang BENER BENER DAH AH ASTAGHFIRULLAHAL ADZIMMMM,0,0,0,0,1,0,0,0
1065,"Pengen punya mutual deket, tapi gaada yang mau :(",0,0,0,0,0,1,0,0
3249,stay safe yang  daerahnya kena banjir  perumahan yang di belakang perulumahan udah mulai banjir... omg,0,0,0,1,0,0,0,0
3059,"Cinta bukan hanya masalah memiliki, namun memberi bantuan dan dukungan. Berani berkata jujur jika ada keputusan yang salah",0,0,0,0,0,0,0,1
72,Enak sih cara pakenya cuman gampang potek aja apa aku yang terlalu kasar pakenya ya :(,0,0,0,0,0,1,1,0
1213,Aaminnn makasih banyak widya aku doakan yang terbaik untuk kamu juga,0,0,0,0,1,0,0,1
2435,"Semoga mendapatkan kerjaan yang nyaman dan menetap yaa, aamiin!",0,1,0,0,0,0,0,0
1195,"Awal yang baik, semoga bertemu dengan yang baik.",0,1,0,0,0,0,0,0
2904,"Suka suka saya,pln aja belum kasih statement/surat kapan nyalanya,kok anda yang ribet?",1,0,0,0,0,0,0,0
1846,Janganlah kau isi hatimu dengan kemarahan kepada orang yang bergembira jika engkau marah. Abaikan. Sabarlah.,0,0,0,0,0,0,0,1
2210,"Semoga tahun 2020 nii , orang yang saya sayang sentiasa ada di sisi "") .",0,1,0,0,0,0,0,0
3198,"Aku kepikiran ini udah malem, masih ada yang terjebak banjir dan banjirnya semakin meninggi kah?",0,0,0,1,0,0,0,0
1701,2020. Semoga dapat tempat kerja baru yang dekat dengan Ibu. Amin,0,1,0,0,0,0,0,0
1165,"Semoga di tahun 2020, saya tidak lagi kehilangan orang-orang yang kusayangi.",0,0,0,0,0,0,0,1
3899,Selamat Tahun Baru 2020. Berusaha. Berdoa. Tawakkal. Menjadi yang terbaik untuk manfaat dunia dan akhirat,0,1,0,0,0,0,0,0
3689,"Oh udah daftar, makasih udah rt dan doain, semoga kamu masuk di PTN yang diinginkan ya, aamiin",0,1,0,0,0,0,0,0
577,Terima kasih Ya Allah atas rizky yang kau berikan terhadap kami keluarga dan orang-orang yang kami sayangi,0,0,0,0,1,0,0,0
2591,"Semoga 2020 aku merasakan hal yang sama dengan kak upil, bersama dengan orang yang dicintai:)",0,1,0,0,0,0,0,1
959,Amin makasih doanya risma  doa yang terbaik juga buat kamu ris.makasih ya,0,0,0,0,1,0,0,0
86,Lho sudah pindah to ?? Kirain u mbak mbak yang jaga di SM entertainment F5,0,0,0,0,0,0,1,0
3078,"wah, sialan. dosa apa masa laluku sampe gak dapet yang kisah yang mulus gini.",0,0,0,0,0,1,0,0
4187,Semoga musibah banjir yang terjadi di beberapa wilayah Indonesia bisa segera teratasi. Stay strong! #Banjir,0,1,0,0,0,0,0,0
1276,Semoga di tahun baru ini banyak pencapaian baru juga yang didapat,0,1,0,0,0,0,0,0
2806,Nemu aja pak yang ginian  . Sempet sempetnya pagi pagi udah sepedahan. Sehat selalu njih pak,0,0,0,0,0,0,1,0
2749,"Selamat tahun baru! Semoga kesenangan akan datang dari hal-hal yang nyata, bukan secara virtual.",0,0,0,0,1,0,0,0
2428,semoga yang belum tercapai ditahun sebelumnya bisa aku dapetin ditahun ini. aamiin,0,1,0,0,0,0,0,0
739,Semoga bisa lebih mengikhlaskan sesuatu yang emang gak ditakdirkan buat aku.,0,0,0,0,0,0,0,1
4006,"Hujan emang bikin adem sih, tapi kasihan juga yang rumahnya sampai banjir gara-gara hujan non-stop :(",0,0,0,0,0,1,0,0
1633,Aku selalu pengen menangis padahal sebenarnya yang aku hadapi biasa aja,0,0,0,0,0,1,0,0
3428,"selamat tahun baru, semoga tahun ini kita bisa jadi pribadi yang lebih baik dari sebelumnya",0,1,0,0,1,0,0,0
2299,"2020 mugi diberikan yang terbaik dari yang terbaik, Amiin ",0,1,0,0,0,0,0,0
3203,"Yang diinget jangan cuma sedihnya doang, 12 bulan kemarin banyak hal  yang bisa dijadikan pembelajaran buat kedepannya kok.",0,1,0,0,0,0,0,1
567,Kesel banget si asti ngeretweet ular lagi yang dulu juga share ular pengen ku jegal dan jongkrokin :((,1,0,0,0,0,0,0,0
1096,Semoga di tahun ini menjadi tahun yang bisa membanggakan dan berkesan,0,1,0,0,0,0,0,1
496,"Sudah tidak hujan, air kiriman pun baru pada datang.. yang sabar yaa para korban banjir..",0,0,0,0,0,1,0,0
3088,harapannya semoga menjadi istri yang lebih baik lagi buat suami dan menjadi mama yang lebih baik lagi buat adam,0,1,0,0,0,0,0,0
1774,Kalo banjir gini enakan jaman dulu. Tinggal nyalahin Bogor. Ga ada yang lain,1,0,0,0,0,0,0,0
986,"tidak ada yang berubah, kecuali diri sendiri untuk lebih baik 2020",0,1,0,0,0,0,0,0
4056,SELAMAT ULANG TAUN PAK KETU! Doa yang terbaik buat taun ini! Semangat ngejar ngejar kejoranya @Galaksialdebara,0,1,0,0,1,0,0,0
2637,bebenah pas banjir tuh capek banget anjir furniture kerendem apalagi yang bahannya kayu aduh ya Allah sedih banget,0,0,0,0,0,1,0,0
884,"Tetap semangat rekan-rekan Jakarta yang kena banjir, Ojo muntir!",0,1,0,0,0,0,0,1
798,Horeeee Hadiah Tahun Baru Kolam Renang Gratis yang luaaasss...,0,0,0,0,1,0,0,0
1504,"bagus, gue sukaa yang begini dan semua temen gue harus tahan banting",0,0,0,0,0,0,0,1
2361,"yang pertama, iya sama..aku juga agak bingung :(",0,0,0,0,0,0,1,0
495,"Selamat Tahun Baru mbak Julia, semoga Tuhan berkenan memberikan yang terbaik ditahun yang baru. Tuhan Memberkati",0,0,0,0,1,0,0,0
3707,"Seneng bgt TV belakangan nyetelin film tapi yang bagus-bagus, daritadi sibuk nontonin milly mamet di sctv",0,0,0,0,1,0,0,0
